epoch, 91, time used, 0, seconds, train loss, 34.208, validation rmse:, 36.983, test rmse:, 16.672
epoch, 92, time used, 0, seconds, train loss, 34.116, validation rmse:, 36.636, test rmse:, 16.538
epoch, 93, time used, 0, seconds, train loss, 33.923, validation rmse:, 36.725, test rmse:, 16.389
epoch, 94, time used, 0, seconds, train loss, 33.826, validation rmse:, 36.424, test rmse:, 15.906
epoch, 95, time used, 0, seconds, train loss, 33.759, validation rmse:, 36.191, test rmse:, 15.651
epoch, 96, time used, 0, seconds, train loss, 33.643, validation rmse:, 35.969, test rmse:, 15.413
epoch, 97, time used, 0, seconds, train loss, 33.511, validation rmse:, 36.075, test rmse:, 15.110
epoch, 98, time used, 0, seconds, train loss, 33.420, validation rmse:, 35.806, test rmse:, 15.002
epoch, 99, time used, 0, seconds, train loss, 33.228, validation rmse:, 35.408, test rmse:, 14.612
epoch, 100, time used, 0, seconds, train loss, 33.152, validation rmse:, 35.213, test rmse:, 14.465
epoch, 101, time used, 0, seconds, train loss, 32.951, validation rmse:, 35.253, test rmse:, 14.221
epoch, 102, time used, 0, seconds, train loss, 32.891, validation rmse:, 35.152, test rmse:, 13.989
epoch, 103, time used, 0, seconds, train loss, 32.728, validation rmse:, 35.011, test rmse:, 13.613
epoch, 104, time used, 0, seconds, train loss, 32.593, validation rmse:, 34.802, test rmse:, 13.350
epoch, 105, time used, 0, seconds, train loss, 32.622, validation rmse:, 34.642, test rmse:, 13.239
epoch, 106, time used, 0, seconds, train loss, 32.332, validation rmse:, 34.469, test rmse:, 13.090
epoch, 107, time used, 0, seconds, train loss, 32.345, validation rmse:, 34.456, test rmse:, 12.701
epoch, 108, time used, 0, seconds, train loss, 32.250, validation rmse:, 34.304, test rmse:, 12.776
epoch, 109, time used, 0, seconds, train loss, 31.971, validation rmse:, 34.081, test rmse:, 12.497
epoch, 110, time used, 0, seconds, train loss, 32.024, validation rmse:, 34.169, test rmse:, 12.252
epoch, 111, time used, 0, seconds, train loss, 31.728, validation rmse:, 33.981, test rmse:, 12.197
epoch, 112, time used, 0, seconds, train loss, 31.758, validation rmse:, 33.580, test rmse:, 11.723
epoch, 113, time used, 0, seconds, train loss, 31.586, validation rmse:, 33.518, test rmse:, 11.709
epoch, 114, time used, 0, seconds, train loss, 31.496, validation rmse:, 33.462, test rmse:, 11.469
epoch, 115, time used, 0, seconds, train loss, 31.261, validation rmse:, 33.539, test rmse:, 11.467
epoch, 116, time used, 0, seconds, train loss, 31.190, validation rmse:, 33.326, test rmse:, 11.263
epoch, 117, time used, 0, seconds, train loss, 31.073, validation rmse:, 33.287, test rmse:, 11.028
epoch, 118, time used, 0, seconds, train loss, 30.931, validation rmse:, 32.850, test rmse:, 11.024
epoch, 119, time used, 0, seconds, train loss, 30.752, validation rmse:, 32.982, test rmse:, 10.869
epoch, 120, time used, 0, seconds, train loss, 30.730, validation rmse:, 32.840, test rmse:, 10.692
epoch, 121, time used, 0, seconds, train loss, 30.599, validation rmse:, 32.716, test rmse:, 10.792
epoch, 122, time used, 0, seconds, train loss, 30.508, validation rmse:, 32.831, test rmse:, 10.872
epoch, 123, time used, 0, seconds, train loss, 30.529, validation rmse:, 32.604, test rmse:, 10.364
epoch, 124, time used, 0, seconds, train loss, 30.343, validation rmse:, 32.538, test rmse:, 10.734
epoch, 125, time used, 0, seconds, train loss, 30.216, validation rmse:, 32.043, test rmse:, 10.563
epoch, 126, time used, 0, seconds, train loss, 30.013, validation rmse:, 32.172, test rmse:, 10.286
epoch, 127, time used, 0, seconds, train loss, 30.096, validation rmse:, 32.346, test rmse:, 10.157
epoch, 128, time used, 0, seconds, train loss, 30.034, validation rmse:, 32.120, test rmse:, 10.346
epoch, 129, time used, 0, seconds, train loss, 29.790, validation rmse:, 32.179, test rmse:, 10.212
epoch, 130, time used, 0, seconds, train loss, 29.694, validation rmse:, 32.091, test rmse:, 10.123
epoch, 131, time used, 0, seconds, train loss, 29.575, validation rmse:, 32.003, test rmse:, 10.375
epoch, 132, time used, 0, seconds, train loss, 29.645, validation rmse:, 32.043, test rmse:, 10.481
epoch, 133, time used, 0, seconds, train loss, 29.496, validation rmse:, 31.982, test rmse:, 10.121
epoch, 134, time used, 0, seconds, train loss, 29.385, validation rmse:, 31.990, test rmse:, 10.344
epoch, 135, time used, 0, seconds, train loss, 29.509, validation rmse:, 32.050, test rmse:, 10.543
epoch, 136, time used, 0, seconds, train loss, 29.454, validation rmse:, 31.951, test rmse:, 10.318
epoch, 137, time used, 0, seconds, train loss, 29.459, validation rmse:, 32.079, test rmse:, 10.327
epoch, 138, time used, 0, seconds, train loss, 29.402, validation rmse:, 31.852, test rmse:, 10.476
epoch, 139, time used, 0, seconds, train loss, 29.330, validation rmse:, 31.873, test rmse:, 10.722
epoch, 140, time used, 0, seconds, train loss, 29.444, validation rmse:, 31.754, test rmse:, 10.499
epoch, 141, time used, 0, seconds, train loss, 29.220, validation rmse:, 31.777, test rmse:, 10.300
epoch, 142, time used, 0, seconds, train loss, 29.331, validation rmse:, 31.852, test rmse:, 10.423
epoch, 143, time used, 0, seconds, train loss, 29.330, validation rmse:, 31.784, test rmse:, 10.536
epoch, 144, time used, 0, seconds, train loss, 29.275, validation rmse:, 31.795, test rmse:, 10.430
epoch, 145, time used, 0, seconds, train loss, 29.326, validation rmse:, 31.539, test rmse:, 10.444
epoch, 146, time used, 0, seconds, train loss, 29.316, validation rmse:, 31.614, test rmse:, 10.662
epoch, 147, time used, 0, seconds, train loss, 29.231, validation rmse:, 31.910, test rmse:, 10.596
epoch, 148, time used, 0, seconds, train loss, 29.241, validation rmse:, 31.804, test rmse:, 10.653
epoch, 149, time used, 0, seconds, train loss, 29.326, validation rmse:, 31.693, test rmse:, 10.701
epoch, 150, time used, 0, seconds, train loss, 29.205, validation rmse:, 31.782, test rmse:, 10.855
epoch, 151, time used, 0, seconds, train loss, 29.128, validation rmse:, 31.602, test rmse:, 10.996
epoch, 152, time used, 0, seconds, train loss, 29.227, validation rmse:, 31.695, test rmse:, 10.934
epoch, 153, time used, 0, seconds, train loss, 29.275, validation rmse:, 31.829, test rmse:, 10.855
epoch, 154, time used, 0, seconds, train loss, 29.321, validation rmse:, 31.995, test rmse:, 10.955
epoch, 155, time used, 0, seconds, train loss, 29.245, validation rmse:, 31.361, test rmse:, 11.105
epoch, 156, time used, 0, seconds, train loss, 29.251, validation rmse:, 31.440, test rmse:, 11.069
epoch, 157, time used, 0, seconds, train loss, 29.018, validation rmse:, 31.930, test rmse:, 10.960
epoch, 158, time used, 0, seconds, train loss, 29.139, validation rmse:, 31.550, test rmse:, 10.982
epoch, 159, time used, 0, seconds, train loss, 29.254, validation rmse:, 31.640, test rmse:, 11.436
epoch, 160, time used, 0, seconds, train loss, 29.089, validation rmse:, 31.936, test rmse:, 11.392
epoch, 161, time used, 0, seconds, train loss, 29.189, validation rmse:, 31.741, test rmse:, 11.376
epoch, 162, time used, 0, seconds, train loss, 29.015, validation rmse:, 31.478, test rmse:, 11.470
epoch, 163, time used, 0, seconds, train loss, 29.023, validation rmse:, 31.728, test rmse:, 11.353
epoch, 164, time used, 0, seconds, train loss, 29.173, validation rmse:, 31.560, test rmse:, 11.620
epoch, 165, time used, 0, seconds, train loss, 28.986, validation rmse:, 31.767, test rmse:, 11.718
epoch, 166, time used, 0, seconds, train loss, 29.066, validation rmse:, 31.754, test rmse:, 11.918
epoch, 167, time used, 0, seconds, train loss, 28.854, validation rmse:, 31.343, test rmse:, 11.603
epoch, 168, time used, 0, seconds, train loss, 29.008, validation rmse:, 31.648, test rmse:, 11.795
epoch, 169, time used, 0, seconds, train loss, 28.951, validation rmse:, 31.887, test rmse:, 12.080
epoch, 170, time used, 0, seconds, train loss, 28.948, validation rmse:, 31.795, test rmse:, 12.085
epoch, 171, time used, 0, seconds, train loss, 28.869, validation rmse:, 31.926, test rmse:, 11.988
epoch, 172, time used, 0, seconds, train loss, 28.918, validation rmse:, 31.797, test rmse:, 12.405
epoch, 173, time used, 0, seconds, train loss, 28.924, validation rmse:, 31.644, test rmse:, 12.335
epoch, 174, time used, 0, seconds, train loss, 28.862, validation rmse:, 31.538, test rmse:, 12.603
epoch, 175, time used, 0, seconds, train loss, 29.023, validation rmse:, 31.387, test rmse:, 12.428
epoch, 176, time used, 0, seconds, train loss, 28.872, validation rmse:, 31.549, test rmse:, 12.260
epoch, 177, time used, 0, seconds, train loss, 28.914, validation rmse:, 31.597, test rmse:, 12.814
epoch, 178, time used, 0, seconds, train loss, 28.686, validation rmse:, 31.655, test rmse:, 12.442
epoch, 179, time used, 0, seconds, train loss, 28.753, validation rmse:, 31.482, test rmse:, 12.776
epoch, 180, time used, 0, seconds, train loss, 28.812, validation rmse:, 31.981, test rmse:, 12.866
epoch, 181, time used, 0, seconds, train loss, 28.964, validation rmse:, 31.577, test rmse:, 12.800
epoch, 182, time used, 0, seconds, train loss, 29.008, validation rmse:, 31.878, test rmse:, 13.117
epoch, 183, time used, 0, seconds, train loss, 28.783, validation rmse:, 31.710, test rmse:, 12.950
